,Quarter,Industry,Value,Country,Variable
443,2023 Q1,Manufacturing,92.37333282051915,UK,GVA
444,2023 Q2,Manufacturing,93.3721939633394,UK,GVA
445,2023 Q3,Manufacturing,92.27480454828918,UK,GVA
446,2023 Q4,Manufacturing,90.69761575182763,UK,GVA
447,2024 Q1,Manufacturing,91.58415944718548,UK,GVA
448,2024 Q2,Manufacturing,90.38093822230499,UK,GVA
449,2024 Q3,Manufacturing,90.21428280687823,UK,GVA
450,2024 Q4,Manufacturing,89.73992437018101,UK,GVA
451,2025 Q1,Manufacturing,91.13474888150982,UK,GVA
452,1997 Q1,Construction,103.32344732590666,UK,GVA
453,1997 Q2,Construction,107.19821986994276,UK,GVA
454,1997 Q3,Construction,107.00586067119619,UK,GVA
455,1997 Q4,Construction,110.70817520261069,UK,GVA
456,1998 Q1,Construction,113.13917076315498,UK,GVA
457,1998 Q2,Construction,110.67455608535042,UK,GVA
458,1998 Q3,Construction,111.31220998372228,UK,GVA
459,1998 Q4,Construction,113.94505404385036,UK,GVA
460,1999 Q1,Construction,116.08584797598891,UK,GVA
461,1999 Q2,Construction,117.26400358652025,UK,GVA
462,1999 Q3,Construction,119.17059453943742,UK,GVA
463,1999 Q4,Construction,118.64814705685059,UK,GVA
464,2000 Q1,Construction,120.56530604872972,UK,GVA
465,2000 Q2,Construction,117.76111446131996,UK,GVA
466,2000 Q3,Construction,114.79304017750167,UK,GVA
467,2000 Q4,Construction,116.68353356956736,UK,GVA
468,2001 Q1,Construction,116.02422866190425,UK,GVA
469,2001 Q2,Construction,117.8858424053024,UK,GVA
470,2001 Q3,Construction,116.37301404580849,UK,GVA
471,2001 Q4,Construction,116.6096074320786,UK,GVA
472,2002 Q1,Construction,115.3644659137972,UK,GVA
473,2002 Q2,Construction,113.98375009139518,UK,GVA
474,2002 Q3,Construction,114.72028026613144,UK,GVA
475,2002 Q4,Construction,114.798517363912,UK,GVA
476,2003 Q1,Construction,110.38969003223042,UK,GVA
477,2003 Q2,Construction,111.49036637593129,UK,GVA
478,2003 Q3,Construction,111.99429808473487,UK,GVA
479,2003 Q4,Construction,112.56145956363535,UK,GVA
480,2004 Q1,Construction,114.91019604171504,UK,GVA
481,2004 Q2,Construction,111.11755731748352,UK,GVA
482,2004 Q3,Construction,109.789560292765,UK,GVA
483,2004 Q4,Construction,108.64948742844673,UK,GVA
484,2005 Q1,Construction,110.23168685946322,UK,GVA
485,2005 Q2,Construction,110.48589557897846,UK,GVA
486,2005 Q3,Construction,108.69162258024019,UK,GVA
487,2005 Q4,Construction,108.38424534674303,UK,GVA
488,2006 Q1,Construction,109.79436175836756,UK,GVA
489,2006 Q2,Construction,110.35830349982217,UK,GVA
490,2006 Q3,Construction,110.31313677787733,UK,GVA
491,2006 Q4,Construction,111.11269665170546,UK,GVA
492,2007 Q1,Construction,110.98249884858294,UK,GVA
493,2007 Q2,Construction,109.31340925737258,UK,GVA
494,2007 Q3,Construction,106.59331721964713,UK,GVA
495,2007 Q4,Construction,106.85681273009648,UK,GVA
496,2008 Q1,Construction,106.65546592683692,UK,GVA
497,2008 Q2,Construction,104.37055806236333,UK,GVA
498,2008 Q3,Construction,101.07473967845249,UK,GVA
499,2008 Q4,Construction,95.66401754175938,UK,GVA
500,2009 Q1,Construction,88.13775935039891,UK,GVA
501,2009 Q2,Construction,87.59065119848798,UK,GVA
502,2009 Q3,Construction,89.15960100710257,UK,GVA
503,2009 Q4,Construction,87.53375384375182,UK,GVA
504,2010 Q1,Construction,91.40333728872211,UK,GVA
505,2010 Q2,Construction,95.46403334565584,UK,GVA
506,2010 Q3,Construction,97.28648985007817,UK,GVA
507,2010 Q4,Construction,95.50270622644994,UK,GVA
508,2011 Q1,Construction,97.92137806295422,UK,GVA
509,2011 Q2,Construction,100.22635333131353,UK,GVA
510,2011 Q3,Construction,99.62605343776858,UK,GVA
511,2011 Q4,Construction,101.50023524021059,UK,GVA
512,2012 Q1,Construction,99.7116670942538,UK,GVA
513,2012 Q2,Construction,99.62343569542706,UK,GVA
514,2012 Q3,Construction,98.19564788693678,UK,GVA
515,2012 Q4,Construction,100.34537654040211,UK,GVA
516,2013 Q1,Construction,101.47975800072184,UK,GVA
517,2013 Q2,Construction,103.18569997191223,UK,GVA
518,2013 Q3,Construction,105.17443846483532,UK,GVA
519,2013 Q4,Construction,105.06294597174772,UK,GVA
520,2014 Q1,Construction,105.54549260356725,UK,GVA
521,2014 Q2,Construction,106.43977236945861,UK,GVA
522,2014 Q3,Construction,107.04977811678754,UK,GVA
523,2014 Q4,Construction,107.9736371355172,UK,GVA
524,2015 Q1,Construction,110.93377937726781,UK,GVA
525,2015 Q2,Construction,112.60113275586204,UK,GVA
526,2015 Q3,Construction,110.71340447885747,UK,GVA
527,2015 Q4,Construction,111.84245009426354,UK,GVA
528,2016 Q1,Construction,110.82358581701848,UK,GVA
529,2016 Q2,Construction,109.43590944122828,UK,GVA
530,2016 Q3,Construction,109.21363413710922,UK,GVA
531,2016 Q4,Construction,110.04328707755045,UK,GVA
532,2017 Q1,Construction,113.50909317216629,UK,GVA
533,2017 Q2,Construction,114.04756189534753,UK,GVA
534,2017 Q3,Construction,113.76286941320902,UK,GVA
535,2017 Q4,Construction,115.51066164417982,UK,GVA
536,2018 Q1,Construction,113.69081928297018,UK,GVA
537,2018 Q2,Construction,114.58190018976708,UK,GVA
538,2018 Q3,Construction,113.75938476450378,UK,GVA
539,2018 Q4,Construction,112.39383349786496,UK,GVA
540,2019 Q1,Construction,114.06173598391298,UK,GVA
541,2019 Q2,Construction,112.70617973156658,UK,GVA
542,2019 Q3,Construction,114.3634766648289,UK,GVA
543,2019 Q4,Construction,112.17458546766082,UK,GVA
544,2020 Q1,Construction,112.68527656508071,UK,GVA
545,2020 Q2,Construction,76.62187385445137,UK,GVA
546,2020 Q3,Construction,103.22892619803422,UK,GVA
547,2020 Q4,Construction,107.46392338243376,UK,GVA
548,2021 Q1,Construction,109.46587068938489,UK,GVA
549,2021 Q2,Construction,112.0100885954563,UK,GVA
550,2021 Q3,Construction,108.7535163363116,UK,GVA
551,2021 Q4,Construction,111.03539109936038,UK,GVA
552,2022 Q1,Construction,114.85790607586691,UK,GVA
553,2022 Q2,Construction,117.43890209948971,UK,GVA
554,2022 Q3,Construction,118.52254824328013,UK,GVA
555,2022 Q4,Construction,120.69422130257259,UK,GVA
556,2023 Q1,Construction,118.44031184756459,UK,GVA
557,2023 Q2,Construction,119.37974415888033,UK,GVA
558,2023 Q3,Construction,120.71251315474217,UK,GVA
559,2023 Q4,Construction,118.88101071061774,UK,GVA
560,2024 Q1,Construction,118.70193455447516,UK,GVA
561,2024 Q2,Construction,118.99909440200882,UK,GVA
562,2024 Q3,Construction,119.42405075918143,UK,GVA
563,2024 Q4,Construction,119.79844921793341,UK,GVA
564,2025 Q1,Construction,120.11561976883347,UK,GVA
565,1997 Q1,Trade & Hospitality,117.19831611343643,UK,GVA
566,1997 Q2,Trade & Hospitality,118.76831870734614,UK,GVA
567,1997 Q3,Trade & Hospitality,120.44006321636253,UK,GVA
568,1997 Q4,Trade & Hospitality,122.86213755481474,UK,GVA
569,1998 Q1,Trade & Hospitality,119.53502879652333,UK,GVA
570,1998 Q2,Trade & Hospitality,119.2474957904756,UK,GVA
571,1998 Q3,Trade & Hospitality,119.82803903475654,UK,GVA
572,1998 Q4,Trade & Hospitality,120.8441880784852,UK,GVA
573,1999 Q1,Trade & Hospitality,122.39230591358059,UK,GVA
574,1999 Q2,Trade & Hospitality,125.16648491316154,UK,GVA
575,1999 Q3,Trade & Hospitality,125.84552230301756,UK,GVA
576,1999 Q4,Trade & Hospitality,127.14529175049327,UK,GVA
577,2000 Q1,Trade & Hospitality,132.36637652882882,UK,GVA
578,2000 Q2,Trade & Hospitality,131.3524928554967,UK,GVA
579,2000 Q3,Trade & Hospitality,133.90076750256213,UK,GVA
580,2000 Q4,Trade & Hospitality,133.24047910610614,UK,GVA
581,2001 Q1,Trade & Hospitality,130.66059624079455,UK,GVA
582,2001 Q2,Trade & Hospitality,131.42272908888398,UK,GVA
583,2001 Q3,Trade & Hospitality,132.46447021740403,UK,GVA
584,2001 Q4,Trade & Hospitality,129.24168297255287,UK,GVA
585,2002 Q1,Trade & Hospitality,127.33526291779953,UK,GVA
586,2002 Q2,Trade & Hospitality,127.3197699630654,UK,GVA
587,2002 Q3,Trade & Hospitality,128.61364990762928,UK,GVA
588,2002 Q4,Trade & Hospitality,127.0034569811036,UK,GVA
589,2003 Q1,Trade & Hospitality,128.91342617462732,UK,GVA
590,2003 Q2,Trade & Hospitality,131.92190055093192,UK,GVA
591,2003 Q3,Trade & Hospitality,132.55992681406718,UK,GVA
592,2003 Q4,Trade & Hospitality,133.02367377691093,UK,GVA
593,2004 Q1,Trade & Hospitality,137.0456748639286,UK,GVA
594,2004 Q2,Trade & Hospitality,139.3084883719113,UK,GVA
595,2004 Q3,Trade & Hospitality,140.28641967733745,UK,GVA
596,2004 Q4,Trade & Hospitality,144.70656592800364,UK,GVA
597,2005 Q1,Trade & Hospitality,144.8342828898879,UK,GVA
598,2005 Q2,Trade & Hospitality,143.91778472749007,UK,GVA
599,2005 Q3,Trade & Hospitality,143.58498395243765,UK,GVA
600,2005 Q4,Trade & Hospitality,146.03938288117453,UK,GVA
601,2006 Q1,Trade & Hospitality,145.52197468793065,UK,GVA
602,2006 Q2,Trade & Hospitality,144.90564947846732,UK,GVA
603,2006 Q3,Trade & Hospitality,142.67918326514138,UK,GVA
604,2006 Q4,Trade & Hospitality,138.59741186341026,UK,GVA
605,2007 Q1,Trade & Hospitality,137.98866847853438,UK,GVA
606,2007 Q2,Trade & Hospitality,139.4516355362743,UK,GVA
607,2007 Q3,Trade & Hospitality,141.3822106650739,UK,GVA
608,2007 Q4,Trade & Hospitality,142.3014117278305,UK,GVA
609,2008 Q1,Trade & Hospitality,149.46232580830417,UK,GVA
610,2008 Q2,Trade & Hospitality,147.83217991077214,UK,GVA
611,2008 Q3,Trade & Hospitality,142.3687846168858,UK,GVA
612,2008 Q4,Trade & Hospitality,135.4794403340676,UK,GVA
613,2009 Q1,Trade & Hospitality,127.90401849420266,UK,GVA
614,2009 Q2,Trade & Hospitality,119.90587552780289,UK,GVA
615,2009 Q3,Trade & Hospitality,120.33274495929665,UK,GVA
616,2009 Q4,Trade & Hospitality,124.46934040718088,UK,GVA
617,2010 Q1,Trade & Hospitality,128.64366987877165,UK,GVA
618,2010 Q2,Trade & Hospitality,134.32701216530026,UK,GVA
619,2010 Q3,Trade & Hospitality,138.06007971818605,UK,GVA
620,2010 Q4,Trade & Hospitality,138.38575685660592,UK,GVA
621,2011 Q1,Trade & Hospitality,140.6845179245574,UK,GVA
622,2011 Q2,Trade & Hospitality,142.14246180404447,UK,GVA
623,2011 Q3,Trade & Hospitality,141.56181101155195,UK,GVA
624,2011 Q4,Trade & Hospitality,142.68781389671253,UK,GVA
625,2012 Q1,Trade & Hospitality,143.8392652792253,UK,GVA
626,2012 Q2,Trade & Hospitality,145.8156596944387,UK,GVA
627,2012 Q3,Trade & Hospitality,146.92319519070767,UK,GVA
628,2012 Q4,Trade & Hospitality,148.28023816810173,UK,GVA
629,2013 Q1,Trade & Hospitality,152.2143482520019,UK,GVA
630,2013 Q2,Trade & Hospitality,151.42039530537153,UK,GVA
631,2013 Q3,Trade & Hospitality,153.82603268192773,UK,GVA
632,2013 Q4,Trade & Hospitality,153.45649136640833,UK,GVA
633,2014 Q1,Trade & Hospitality,153.6831154505916,UK,GVA
634,2014 Q2,Trade & Hospitality,154.88975728188524,UK,GVA
635,2014 Q3,Trade & Hospitality,153.99188171689482,UK,GVA
636,2014 Q4,Trade & Hospitality,152.1864059089999,UK,GVA
637,2015 Q1,Trade & Hospitality,147.64443950841883,UK,GVA
638,2015 Q2,Trade & Hospitality,145.43929347610728,UK,GVA
639,2015 Q3,Trade & Hospitality,145.5317272511291,UK,GVA
640,2015 Q4,Trade & Hospitality,145.16936490925707,UK,GVA
641,2016 Q1,Trade & Hospitality,146.35949732848036,UK,GVA
642,2016 Q2,Trade & Hospitality,147.6027350102323,UK,GVA
643,2016 Q3,Trade & Hospitality,149.3581400289787,UK,GVA
644,2016 Q4,Trade & Hospitality,150.65883731993355,UK,GVA
645,2017 Q1,Trade & Hospitality,153.0162524248062,UK,GVA
646,2017 Q2,Trade & Hospitality,155.60017741471623,UK,GVA
647,2017 Q3,Trade & Hospitality,157.63829928074597,UK,GVA
648,2017 Q4,Trade & Hospitality,156.4439915518604,UK,GVA
649,2018 Q1,Trade & Hospitality,155.2199173268531,UK,GVA
650,2018 Q2,Trade & Hospitality,159.79576995652894,UK,GVA
651,2018 Q3,Trade & Hospitality,162.7562855130967,UK,GVA
652,2018 Q4,Trade & Hospitality,165.5050819761533,UK,GVA
653,2019 Q1,Trade & Hospitality,166.74798138768062,UK,GVA
654,2019 Q2,Trade & Hospitality,165.77285594523923,UK,GVA
655,2019 Q3,Trade & Hospitality,165.32748665494339,UK,GVA
656,2019 Q4,Trade & Hospitality,163.8223640062332,UK,GVA
657,2020 Q1,Trade & Hospitality,141.06668813536584,UK,GVA
658,2020 Q2,Trade & Hospitality,55.28153954993728,UK,GVA
659,2020 Q3,Trade & Hospitality,106.64463896080092,UK,GVA
660,2020 Q4,Trade & Hospitality,97.00713335389595,UK,GVA
661,2021 Q1,Trade & Hospitality,92.3741501863934,UK,GVA
662,2021 Q2,Trade & Hospitality,113.15591904611838,UK,GVA
663,2021 Q3,Trade & Hospitality,124.54880184399056,UK,GVA
664,2021 Q4,Trade & Hospitality,125.88794935654623,UK,GVA
665,2022 Q1,Trade & Hospitality,133.7280394121789,UK,GVA
666,2022 Q2,Trade & Hospitality,137.88801288251526,UK,GVA
667,2022 Q3,Trade & Hospitality,141.8092225305763,UK,GVA
668,2022 Q4,Trade & Hospitality,143.2919806276059,UK,GVA
669,2023 Q1,Trade & Hospitality,143.50828716014067,UK,GVA
670,2023 Q2,Trade & Hospitality,141.54455360646483,UK,GVA
671,2023 Q3,Trade & Hospitality,139.47628009241063,UK,GVA
672,2023 Q4,Trade & Hospitality,140.60351462900806,UK,GVA
673,2024 Q1,Trade & Hospitality,144.16566226899226,UK,GVA
674,2024 Q2,Trade & Hospitality,146.816561604792,UK,GVA
675,2024 Q3,Trade & Hospitality,145.35050495357865,UK,GVA
676,2024 Q4,Trade & Hospitality,144.70194564934295,UK,GVA
677,2025 Q1,Trade & Hospitality,144.87846232008025,UK,GVA
678,1997 Q1,Information and communication,45.74203947334601,UK,GVA
679,1997 Q2,Information and communication,47.46172064752099,UK,GVA
680,1997 Q3,Information and communication,45.70040221797208,UK,GVA
681,1997 Q4,Information and communication,49.49001115947953,UK,GVA
682,1998 Q1,Information and communication,48.76443275573569,UK,GVA
683,1998 Q2,Information and communication,50.836318702291194,UK,GVA
684,1998 Q3,Information and communication,50.41578651367429,UK,GVA
685,1998 Q4,Information and communication,52.4459654919479,UK,GVA
686,1999 Q1,Information and communication,51.67822571790036,UK,GVA
687,1999 Q2,Information and communication,50.928301369049166,UK,GVA
688,1999 Q3,Information and communication,55.688003847070476,UK,GVA
689,1999 Q4,Information and communication,56.68390586898223,UK,GVA
690,2000 Q1,Information and communication,58.788131378694594,UK,GVA
691,2000 Q2,Information and communication,61.1350497083659,UK,GVA
692,2000 Q3,Information and communication,62.514248885966275,UK,GVA
693,2000 Q4,Information and communication,61.96271649824487,UK,GVA
694,2001 Q1,Information and communication,63.279503145557705,UK,GVA
695,2001 Q2,Information and communication,63.24916460053572,UK,GVA
696,2001 Q3,Information and communication,63.18798101458807,UK,GVA
697,2001 Q4,Information and communication,64.65825196754693,UK,GVA
698,2002 Q1,Information and communication,64.99289319439222,UK,GVA
699,2002 Q2,Information and communication,65.52901320593769,UK,GVA
700,2002 Q3,Information and communication,64.15265816291065,UK,GVA
701,2002 Q4,Information and communication,66.03763555957299,UK,GVA
702,2003 Q1,Information and communication,68.15759911472917,UK,GVA
703,2003 Q2,Information and communication,69.37539069509626,UK,GVA
704,2003 Q3,Information and communication,68.93563116986996,UK,GVA
705,2003 Q4,Information and communication,71.8246332191015,UK,GVA
706,2004 Q1,Information and communication,71.960589846668,UK,GVA
707,2004 Q2,Information and communication,72.42967029830399,UK,GVA
708,2004 Q3,Information and communication,75.22013859318768,UK,GVA
709,2004 Q4,Information and communication,74.3386037716355,UK,GVA
710,2005 Q1,Information and communication,75.27265638793517,UK,GVA
711,2005 Q2,Information and communication,75.73525481253614,UK,GVA
712,2005 Q3,Information and communication,78.12187399123772,UK,GVA
713,2005 Q4,Information and communication,78.8569146430802,UK,GVA
714,2006 Q1,Information and communication,79.14611415377996,UK,GVA
715,2006 Q2,Information and communication,75.59729282625474,UK,GVA
716,2006 Q3,Information and communication,76.93451729299909,UK,GVA
717,2006 Q4,Information and communication,78.28523850865786,UK,GVA
718,2007 Q1,Information and communication,80.07091054997998,UK,GVA
719,2007 Q2,Information and communication,82.49014917444454,UK,GVA
720,2007 Q3,Information and communication,84.94370449702139,UK,GVA
721,2007 Q4,Information and communication,83.97164768512715,UK,GVA
722,2008 Q1,Information and communication,85.5578296028413,UK,GVA
723,2008 Q2,Information and communication,85.96928763102699,UK,GVA
724,2008 Q3,Information and communication,84.35418879944089,UK,GVA
725,2008 Q4,Information and communication,83.8019098914211,UK,GVA
726,2009 Q1,Information and communication,82.87749924542128,UK,GVA
727,2009 Q2,Information and communication,83.72043977251063,UK,GVA
728,2009 Q3,Information and communication,83.93395108385752,UK,GVA
729,2009 Q4,Information and communication,86.14298677811105,UK,GVA
730,2010 Q1,Information and communication,84.55855273281328,UK,GVA
731,2010 Q2,Information and communication,83.583264572284,UK,GVA
732,2010 Q3,Information and communication,84.25667607671282,UK,GVA
733,2010 Q4,Information and communication,84.17728329525191,UK,GVA
734,2011 Q1,Information and communication,82.87336217240967,UK,GVA
735,2011 Q2,Information and communication,86.55910536606652,UK,GVA
736,2011 Q3,Information and communication,87.50927250924613,UK,GVA
737,2011 Q4,Information and communication,86.31597504525054,UK,GVA
738,2012 Q1,Information and communication,90.43926188685309,UK,GVA
739,2012 Q2,Information and communication,86.29286371694245,UK,GVA
740,2012 Q3,Information and communication,84.39380491323001,UK,GVA
741,2012 Q4,Information and communication,87.30482228323636,UK,GVA
742,2013 Q1,Information and communication,90.77124798196736,UK,GVA
743,2013 Q2,Information and communication,90.37342560810124,UK,GVA
744,2013 Q3,Information and communication,94.54358903235038,UK,GVA
745,2013 Q4,Information and communication,95.74655820896177,UK,GVA
746,2014 Q1,Information and communication,91.61547468584126,UK,GVA
747,2014 Q2,Information and communication,93.94602031289712,UK,GVA
748,2014 Q3,Information and communication,94.07018852688469,UK,GVA
749,2014 Q4,Information and communication,93.55328182005827,UK,GVA
750,2015 Q1,Information and communication,94.9462184456092,UK,GVA
751,2015 Q2,Information and communication,95.30723659494794,UK,GVA
752,2015 Q3,Information and communication,95.44107642606862,UK,GVA
753,2015 Q4,Information and communication,97.24874900040406,UK,GVA
754,2016 Q1,Information and communication,98.65052910683478,UK,GVA
755,2016 Q2,Information and communication,99.26526732467387,UK,GVA
756,2016 Q3,Information and communication,101.54748131729447,UK,GVA
757,2016 Q4,Information and communication,99.39461967777108,UK,GVA
758,2017 Q1,Information and communication,97.03977332271488,UK,GVA
759,2017 Q2,Information and communication,96.18890392223413,UK,GVA
760,2017 Q3,Information and communication,94.88910679138333,UK,GVA
761,2017 Q4,Information and communication,96.24815859147881,UK,GVA
762,2018 Q1,Information and communication,97.06491898522897,UK,GVA
763,2018 Q2,Information and communication,97.22893641625645,UK,GVA
764,2018 Q3,Information and communication,97.74336799876448,UK,GVA
765,2018 Q4,Information and communication,98.13921888479015,UK,GVA
766,2019 Q1,Information and communication,99.44669887150765,UK,GVA
767,2019 Q2,Information and communication,100.33269209783849,UK,GVA
768,2019 Q3,Information and communication,101.70690817136199,UK,GVA
769,2019 Q4,Information and communication,102.99135651297375,UK,GVA
770,2020 Q1,Information and communication,103.0117576310852,UK,GVA
771,2020 Q2,Information and communication,94.04188417819906,UK,GVA
772,2020 Q3,Information and communication,100.27035699648026,UK,GVA
773,2020 Q4,Information and communication,102.6760011942355,UK,GVA
774,2021 Q1,Information and communication,103.1574969062253,UK,GVA
775,2021 Q2,Information and communication,106.82990556356513,UK,GVA
776,2021 Q3,Information and communication,107.37857232004386,UK,GVA
777,2021 Q4,Information and communication,110.91772014103383,UK,GVA
778,2022 Q1,Information and communication,113.23046753065056,UK,GVA
779,2022 Q2,Information and communication,113.25426533382985,UK,GVA
780,2022 Q3,Information and communication,112.65869275855118,UK,GVA
781,2022 Q4,Information and communication,111.88804654533561,UK,GVA
782,2023 Q1,Information and communication,110.91334713864289,UK,GVA
783,2023 Q2,Information and communication,111.86723084395345,UK,GVA
784,2023 Q3,Information and communication,110.81875889782127,UK,GVA
785,2023 Q4,Information and communication,109.60051772159811,UK,GVA
786,2024 Q1,Information and communication,110.29683901292515,UK,GVA
787,2024 Q2,Information and communication,112.95318806474728,UK,GVA
788,2024 Q3,Information and communication,112.77162284423747,UK,GVA
789,2024 Q4,Information and communication,113.53537564361274,UK,GVA
790,2025 Q1,Information and communication,117.49388217082645,UK,GVA
791,1997 Q1,Finance and insurance,76.07147379403439,UK,GVA
792,1997 Q2,Finance and insurance,76.0393245172691,UK,GVA
793,1997 Q3,Finance and insurance,75.16472769672362,UK,GVA
794,1997 Q4,Finance and insurance,72.21738723833158,UK,GVA
795,1998 Q1,Finance and insurance,81.88351805531418,UK,GVA
796,1998 Q2,Finance and insurance,77.67569659808568,UK,GVA
797,1998 Q3,Finance and insurance,74.47062883623593,UK,GVA
798,1998 Q4,Finance and insurance,69.90816855209246,UK,GVA
799,1999 Q1,Finance and insurance,72.60464304862762,UK,GVA
800,1999 Q2,Finance and insurance,74.96302943694768,UK,GVA
801,1999 Q3,Finance and insurance,76.10583637526351,UK,GVA
802,1999 Q4,Finance and insurance,79.99701754367159,UK,GVA
803,2000 Q1,Finance and insurance,81.2894824319236,UK,GVA
804,2000 Q2,Finance and insurance,80.31044912536579,UK,GVA
805,2000 Q3,Finance and insurance,79.82630806356052,UK,GVA
806,2000 Q4,Finance and insurance,79.64429709792725,UK,GVA
807,2001 Q1,Finance and insurance,78.71773712012936,UK,GVA
808,2001 Q2,Finance and insurance,76.42804380217385,UK,GVA
809,2001 Q3,Finance and insurance,77.06202045115887,UK,GVA
810,2001 Q4,Finance and insurance,76.16178192296728,UK,GVA
811,2002 Q1,Finance and insurance,78.45806205738235,UK,GVA
812,2002 Q2,Finance and insurance,79.39342607881169,UK,GVA
813,2002 Q3,Finance and insurance,78.74181511064802,UK,GVA
814,2002 Q4,Finance and insurance,80.73322050332294,UK,GVA
815,2003 Q1,Finance and insurance,80.94087845718975,UK,GVA
816,2003 Q2,Finance and insurance,81.4560868782085,UK,GVA
817,2003 Q3,Finance and insurance,83.22687243446653,UK,GVA
818,2003 Q4,Finance and insurance,80.40793269983381,UK,GVA
819,2004 Q1,Finance and insurance,77.86354501853512,UK,GVA
820,2004 Q2,Finance and insurance,79.79692906234254,UK,GVA
821,2004 Q3,Finance and insurance,84.64165398430939,UK,GVA
822,2004 Q4,Finance and insurance,90.4197199067131,UK,GVA
823,2005 Q1,Finance and insurance,93.62592869168968,UK,GVA
824,2005 Q2,Finance and insurance,93.52338565861017,UK,GVA
825,2005 Q3,Finance and insurance,95.77333191161644,UK,GVA
826,2005 Q4,Finance and insurance,93.04465152248541,UK,GVA
827,2006 Q1,Finance and insurance,91.34699308066297,UK,GVA
828,2006 Q2,Finance and insurance,88.5534412710044,UK,GVA
829,2006 Q3,Finance and insurance,89.46501219114636,UK,GVA
830,2006 Q4,Finance and insurance,97.1170943440644,UK,GVA
831,2007 Q1,Finance and insurance,103.64638885922899,UK,GVA
832,2007 Q2,Finance and insurance,111.34760734125142,UK,GVA
833,2007 Q3,Finance and insurance,115.56707308522658,UK,GVA
834,2007 Q4,Finance and insurance,115.50974141250612,UK,GVA
835,2008 Q1,Finance and insurance,116.95957843045062,UK,GVA
836,2008 Q2,Finance and insurance,115.6069853619749,UK,GVA
837,2008 Q3,Finance and insurance,112.48546322841703,UK,GVA
838,2008 Q4,Finance and insurance,106.21731512232829,UK,GVA
839,2009 Q1,Finance and insurance,107.10710482957657,UK,GVA
840,2009 Q2,Finance and insurance,105.33330306329107,UK,GVA
841,2009 Q3,Finance and insurance,104.60572557054772,UK,GVA
842,2009 Q4,Finance and insurance,104.57476710753954,UK,GVA
843,2010 Q1,Finance and insurance,103.24111297397232,UK,GVA
844,2010 Q2,Finance and insurance,103.6126881508031,UK,GVA
845,2010 Q3,Finance and insurance,103.5142278961225,UK,GVA
846,2010 Q4,Finance and insurance,104.66627227762186,UK,GVA
847,2011 Q1,Finance and insurance,98.94803866538362,UK,GVA
848,2011 Q2,Finance and insurance,95.52489744166544,UK,GVA
849,2011 Q3,Finance and insurance,97.76147828818016,UK,GVA
850,2011 Q4,Finance and insurance,97.79440303019096,UK,GVA
851,2012 Q1,Finance and insurance,98.87817169491619,UK,GVA
852,2012 Q2,Finance and insurance,100.61155257278007,UK,GVA
853,2012 Q3,Finance and insurance,100.51183272545636,UK,GVA
854,2012 Q4,Finance and insurance,98.0751055125648,UK,GVA
855,2013 Q1,Finance and insurance,96.42392124948084,UK,GVA
856,2013 Q2,Finance and insurance,95.80482516619688,UK,GVA
857,2013 Q3,Finance and insurance,93.00303247865544,UK,GVA
858,2013 Q4,Finance and insurance,93.15210139873282,UK,GVA
859,2014 Q1,Finance and insurance,92.03672332171533,UK,GVA
860,2014 Q2,Finance and insurance,94.10645100638203,UK,GVA
861,2014 Q3,Finance and insurance,95.0591725935915,UK,GVA
862,2014 Q4,Finance and insurance,95.43973546546161,UK,GVA
863,2015 Q1,Finance and insurance,92.88221876557088,UK,GVA
864,2015 Q2,Finance and insurance,88.44220827290442,UK,GVA
865,2015 Q3,Finance and insurance,87.4825160778989,UK,GVA
866,2015 Q4,Finance and insurance,88.69913436613106,UK,GVA
867,2016 Q1,Finance and insurance,91.73003795474757,UK,GVA
868,2016 Q2,Finance and insurance,92.65749114967764,UK,GVA
869,2016 Q3,Finance and insurance,97.46009022277237,UK,GVA
870,2016 Q4,Finance and insurance,100.78616899590787,UK,GVA
871,2017 Q1,Finance and insurance,100.71872036829545,UK,GVA
872,2017 Q2,Finance and insurance,102.75688468573591,UK,GVA
873,2017 Q3,Finance and insurance,103.60737005063847,UK,GVA
874,2017 Q4,Finance and insurance,105.68675737164055,UK,GVA
875,2018 Q1,Finance and insurance,104.61856304219226,UK,GVA
876,2018 Q2,Finance and insurance,103.06644283382862,UK,GVA
877,2018 Q3,Finance and insurance,101.00998719173471,UK,GVA
878,2018 Q4,Finance and insurance,100.00202220379617,UK,GVA
879,2019 Q1,Finance and insurance,98.29846987682804,UK,GVA
880,2019 Q2,Finance and insurance,99.01557823015975,UK,GVA
881,2019 Q3,Finance and insurance,100.02979635738609,UK,GVA
882,2019 Q4,Finance and insurance,100.15485062268954,UK,GVA
883,2020 Q1,Finance and insurance,99.17386828821638,UK,GVA
884,2020 Q2,Finance and insurance,96.57951671087017,UK,GVA
885,2020 Q3,Finance and insurance,99.64477872689297,UK,GVA
886,2020 Q4,Finance and insurance,104.60183627402049,UK,GVA
887,2021 Q1,Finance and insurance,105.98435594122233,UK,GVA
888,2021 Q2,Finance and insurance,105.9538113928802,UK,GVA
889,2021 Q3,Finance and insurance,104.45924727287309,UK,GVA
890,2021 Q4,Finance and insurance,106.51275745615712,UK,GVA
891,2022 Q1,Finance and insurance,105.14607281174808,UK,GVA
892,2022 Q2,Finance and insurance,103.99459231402226,UK,GVA
893,2022 Q3,Finance and insurance,102.94813433607305,UK,GVA
